set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set1,OF(1-2),OF1,10,23,70,40,468,473,10,23,70,40,468,473,2737,2737,0,1,0,0,0,0.001,0.001,0.002
Set1,OF(1-2),OF2,10,24,70,40,594,380,10,24,70,40,594,380,2690,2690,0,1,0,0,0,0,0.003,0.003
Set1,STS2s+STS4s,STS2s,30,78,55,85,1739,2194,30,78,55,85,1739,2194,4653,4653,0,1,0,0,0.001,0,0.003,0.004
Set1,STS2s+STS4s,STS4s,20,50,99,99,1443,1421,20,50,99,99,1443,1421,9770,9770,0,1,0,0,0.001,0.001,0.002,0.004
Set1,W,W,20,62,70,40,1742,1529,19,62,70,40,1742,1529,2721,2721,0,1,0,0,0,0,0,0
Set2,GCUT(1-13),GCUT1,10,10,250,250,1460,1086,10,10,250,250,1460,1086,48368,48368,0,1,0,0.001,0.001,0,0,0.002
Set2,GCUT(1-13),GCUT2,20,20,250,250,2350,2367,20,20,250,250,2350,2367,59307,59307,0,1,0,0,0.003,0,0.002,0.005
Set2,GCUT(1-13),GCUT3,30,30,250,250,3719,3317,30,30,250,250,3719,3317,60241,60241,0,1,0,0,0.004,0,0,0.004
Set2,GCUT(1-13),GCUT4,50,50,250,250,5855,6125,50,50,250,250,5855,6125,60942,60942,0,1,0,0.001,0.007,0,0.003,0.011
Set2,GCUT(1-13),GCUT5,10,10,500,500,2064,2628,10,10,500,500,2064,2628,195582,195582,0,1,0,0.001,0.004,0,0,0.005
Set2,GCUT(1-13),GCUT6,20,20,500,500,4838,5196,20,20,500,500,4838,5196,236305,236305,0,1,0,0.002,0.005,0,0,0.007
Set2,GCUT(1-13),GCUT7,30,30,500,500,8041,7298,30,30,500,500,8041,7298,238974,238974,0,1,0,0.002,0.008,0,0,0.01
Set2,GCUT(1-13),GCUT8,50,50,500,500,11432,12250,50,50,500,500,11432,12250,245758,245758,0,1,0,0.003,0.024,0.001,0,0.028
Set2,GCUT(1-13),GCUT9,10,10,1000,1000,4977,4050,10,10,1000,1000,4977,4050,919476,919476,0,1,0,0.003,0.024,0,0.001,0.028
Set2,GCUT(1-13),GCUT10,20,20,1000,1000,9983,10868,20,20,1000,1000,9983,10868,903435,903435,0,1,0,0.006,0.028,0,0.002,0.036
Set2,GCUT(1-13),GCUT11,30,30,1000,1000,13816,14353,30,30,1000,1000,13816,14353,955389,955389,0,1,0,0.008,0.055,0,0.009,0.072
Set2,GCUT(1-13),GCUT12,50,50,1000,1000,25259,24837,50,50,1000,1000,25259,24837,970744,970744,0,1,0,0.014,0.097,0.001,0,0.112
Set2,GCUT(1-13),GCUT13,32,32,3000,3000,24690,18345,32,32,3000,3000,24690,18345,8940009,8631947,0.034458802,0,0,0.125,44.937,0,66.548,111.61
Set3,C,c1-p1,16,16,20,20,75,94,16,16,20,20,75,94,400,400,0,1,0,0,0,0.001,0,0.001
Set3,C,c1-p2,17,17,20,20,96,79,15,17,20,20,96,79,385,385,0,1,0,0,0,0,19.704,19.704
Set3,C,c1-p3,16,16,20,20,88,74,14,16,20,20,88,74,400,400,0,1,0,0,0,0,0,0
Set3,C,c2-p1,25,25,40,15,197,77,22,25,40,15,197,77,600,600,0,1,0,0.001,0,0,0.044,0.045
Set3,C,c2-p2,25,25,40,15,179,78,21,25,40,15,179,78,600,596,0.006666667,0,0,0,0,0,36.693,36.693
Set3,C,c2-p3,25,25,40,15,190,69,19,25,40,15,190,69,600,600,0,1,0,0,0,0,0,0
Set3,C,c3-p1,28,28,60,30,309,158,26,28,60,30,309,158,1800,1800,0,1,0,0,0,0.001,0.02,0.021
Set3,C,c3-p2,29,29,60,30,289,171,28,29,60,30,289,171,1799,1782,0.009449694,0,0,0.001,0,0.001,36.691,36.693
Set3,C,c3-p3,28,28,60,30,297,166,28,28,60,30,297,166,1800,1800,0,1,0,0,0,0.001,0,0.001
Set3,C,c4-p1,49,49,60,60,403,472,47,49,60,60,403,472,3600,3600,0,1,0,0.003,0.001,0.002,3.8,3.806
Set3,C,c4-p2,49,49,60,60,387,455,46,49,60,60,387,455,3600,3564,0.01,0,0,0.003,0.001,0.003,36.686,36.693
Set3,C,c4-p3,49,49,60,60,416,409,42,49,60,60,416,409,3600,3600,0,1,0,0.003,0,0.003,1.999,2.005
Set3,C,c5-p1,73,73,60,90,529,698,58,73,60,90,529,698,5400,5396,7.41E-04,0,0,0.007,0.001,0.007,36.678,36.693
Set3,C,c5-p2,73,73,60,90,579,659,60,73,60,90,579,659,5400,5386,0.002592593,0,0,0.006,0.001,0.007,36.679,36.693
Set3,C,c5-p3,73,73,60,90,505,734,61,73,60,90,505,734,5400,5397,5.56E-04,0,0,0.008,0,0.007,36.678,36.693
Set3,C,c6-p1,97,97,80,120,779,1183,79,97,80,120,779,1183,9600,9572,0.002916667,0,0,0.021,0.001,0.016,36.654,36.693
Set3,C,c6-p2,97,97,80,120,899,990,83,97,80,120,899,990,9600,9590,0.001041667,0,0,0.018,0.001,0.021,36.653,36.693
Set3,C,c6-p3,97,97,80,120,846,1095,75,97,80,120,846,1095,9600,9584,0.001666667,0,0,0.019,0.001,0.018,36.655,36.693
Set3,C,c7-p1,196,196,160,240,2321,3167,167,196,160,240,2321,3167,38400,38240,0.004166667,0,0,0.168,0.008,0.229,36.29,36.695
Set3,C,c7-p2,197,197,160,240,2287,2894,161,197,160,240,2287,2894,38400,38360,0.001041667,0,0,0.123,0.009,0.232,36.33,36.694
Set3,C,c7-p3,196,196,160,240,2612,2887,169,196,160,240,2612,2887,38400,38250,0.00390625,0,0,0.168,0.008,0.223,36.295,36.694
Set4,MP,Class1_1_10_100_10_50,10,74,100,100,1879,2153,10,74,100,100,1879,2153,9826,9826,0,1,0,0.001,0,0.001,0.002,0.004
Set4,MP,Class1_1_10_100_25_75,10,14,100,100,645,723,10,14,100,100,645,723,8874,8874,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_1_20_100_10_50,20,166,100,100,4251,3356,20,166,100,100,4251,3356,10000,10000,0,1,0,0.001,0.001,0.004,0,0.006
Set4,MP,Class1_1_20_100_25_75,20,36,100,100,1591,1505,20,36,100,100,1591,1505,9530,9530,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_1_30_100_10_50,30,265,100,100,6656,6408,30,265,100,100,6656,6408,10000,10000,0,1,0,0,0.002,0,0.022,0.024
Set4,MP,Class1_1_30_100_25_75,30,55,100,100,2721,2738,30,55,100,100,2721,2738,9650,9650,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_1_40_100_10_50,40,301,100,100,7111,6878,40,301,100,100,7111,6878,10000,10000,0,1,0,0.001,0.001,0,0.273,0.275
Set4,MP,Class1_1_40_100_25_75,40,67,100,100,3165,3203,40,67,100,100,3165,3203,9878,9878,0,1,0,0.001,0,0.001,0,0.002
Set4,MP,Class1_1_50_100_10_50,50,403,100,100,9672,9199,50,403,100,100,9672,9199,10000,10000,0,1,0,0.001,0.002,0,0.06,0.063
Set4,MP,Class1_1_50_100_25_75,50,79,100,100,3876,3850,50,79,100,100,3876,3850,9808,9808,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_2_10_100_10_50,10,114,100,100,2120,2067,10,114,100,100,2120,2067,9969,9969,0,1,0,0,0.001,0.003,0.003,0.007
Set4,MP,Class1_2_10_100_25_75,10,15,100,100,759,665,10,15,100,100,759,665,9201,9201,0,1,0,0,0,0,0,0
Set4,MP,Class1_2_20_100_10_50,20,147,100,100,3563,3636,19,147,100,100,3563,3636,9967,9967,0,1,0,0,0.001,0.003,0.025,0.029
Set4,MP,Class1_2_20_100_25_75,20,32,100,100,1513,1509,20,32,100,100,1513,1509,9818,9818,0,1,0,0,0,0,0,0
Set4,MP,Class1_2_30_100_10_50,30,170,100,100,3845,4625,30,170,100,100,3845,4625,10000,10000,0,1,0,0,0.002,0.004,0,0.006
Set4,MP,Class1_2_30_100_25_75,30,61,100,100,2962,2706,30,61,100,100,2962,2706,9633,9633,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_2_40_100_10_50,40,395,100,100,7744,8682,40,395,100,100,7744,8682,10000,10000,0,1,0,0.001,0.001,0,0.194,0.196
Set4,MP,Class1_2_40_100_25_75,40,84,100,100,3866,3585,40,84,100,100,3866,3585,9875,9875,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_2_50_100_10_50,50,357,100,100,8407,8030,49,357,100,100,8407,8030,10000,10000,0,1,0,0.001,0.002,0,0.391,0.394
Set4,MP,Class1_2_50_100_25_75,50,107,100,100,4769,4922,50,107,100,100,4769,4922,10000,10000,0,1,0,0.001,0,0,0,0.001
Set4,MP,Class1_3_10_100_10_50,10,67,100,100,1955,1400,10,67,100,100,1955,1400,9900,9900,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_3_10_100_25_75,10,27,100,100,1111,992,10,27,100,100,1111,992,9182,9182,0,1,0,0,0,0,0,0
Set4,MP,Class1_3_20_100_10_50,20,157,100,100,3524,3878,20,157,100,100,3524,3878,9961,9961,0,1,0,0,0.001,0.004,0,0.005
Set4,MP,Class1_3_20_100_25_75,20,39,100,100,1695,1936,20,39,100,100,1695,1936,9800,9800,0,1,0,0.001,0,0,0,0.001
Set4,MP,Class1_3_30_100_10_50,30,261,100,100,6227,5649,30,261,100,100,6227,5649,10000,10000,0,1,0,0,0.002,0,0.087,0.089
Set4,MP,Class1_3_30_100_25_75,30,68,100,100,3235,3148,30,68,100,100,3235,3148,9873,9873,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_3_40_100_10_50,40,341,100,100,8405,6801,40,341,100,100,8405,6801,10000,10000,0,1,0,0.001,0.001,0,0.288,0.29
Set4,MP,Class1_3_40_100_25_75,40,75,100,100,3542,3279,40,75,100,100,3542,3279,9794,9794,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_3_50_100_10_50,50,341,100,100,8192,9587,49,341,100,100,8192,9587,10000,10000,0,1,0,0.001,0.002,0,0.386,0.389
Set4,MP,Class1_3_50_100_25_75,50,104,100,100,4566,4306,50,104,100,100,4566,4306,9912,9912,0,1,0,0,0.001,0,0.001,0.002
Set4,MP,Class1_4_10_100_10_50,10,79,100,100,1831,2255,10,79,100,100,1831,2255,9954,9954,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class1_4_10_100_25_75,10,22,100,100,1180,887,10,22,100,100,1180,887,9553,9553,0,1,0,0,0,0,0,0
Set4,MP,Class1_4_20_100_10_50,20,147,100,100,3758,3725,20,147,100,100,3758,3725,10000,10000,0,1,0,0,0.002,0.003,0.011,0.016
Set4,MP,Class1_4_20_100_25_75,20,55,100,100,2362,2155,20,55,100,100,2362,2155,9862,9862,0,1,0,0,0,0,0,0
Set4,MP,Class1_4_30_100_10_50,30,226,100,100,5121,5531,29,226,100,100,5121,5531,10000,10000,0,1,0,0.002,0,0,0.013,0.015
Set4,MP,Class1_4_30_100_25_75,30,56,100,100,2646,2542,30,56,100,100,2646,2542,9937,9937,0,1,0,0,0,0.001,0,0.001
Set4,MP,Class1_4_40_100_10_50,40,391,100,100,8235,8829,40,391,100,100,8235,8829,10000,10000,0,1,0,0.001,0.001,0,0.15,0.152
Set4,MP,Class1_4_40_100_25_75,40,82,100,100,3741,3542,40,82,100,100,3741,3542,9856,9856,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class1_4_50_100_10_50,50,433,100,100,10716,10721,49,433,100,100,10716,10721,10000,10000,0,1,0,0.001,0.001,0,0.353,0.355
