set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set1,Hchl(3-8)s,Hchl6s,22,60,253,244,3971,3932,22,60,253,244,3971,3932,61040,61040,61040,61040,0,1,0,0.002,0.011,0.002,0.04,0.055
Set1,Hchl(3-8)s,Hchl7s,40,90,263,241,5573,6499,40,90,263,241,5573,6499,63112,63112,63112,63112,0,1,0,0.005,0.015,0.007,0.21,0.237
Set1,Hchl(3-8)s,Hchl8s,10,18,49,20,176,115,10,18,49,20,176,115,928,911,928,911,0.018318966,0,0,0,0,0,36.694,36.694
Set1,Hchl(3-8)s,Hchl4s',10,30,127,98,789,838,10,30,127,98,789,838,12070,11994,12070,11994,0.006296603,0,0,0.001,0.001,0.001,36.69,36.693
Set1,Hchl(3-8)s,Hchl5s',25,58,205,223,2912,2804,25,58,205,223,2912,2804,45361,45361,45361,45361,0,1,0,0.002,0.013,0.007,25.111,25.133
Set1,OF(1-2),OF1,10,23,70,40,468,473,10,23,70,40,472,477,2737,2737,2737,2737,0,1,0,0.001,0,0,0.001,0.002
Set1,OF(1-2),OF2,10,24,70,40,594,380,10,24,70,40,603,380,2690,2690,2690,2690,0,1,0,0.001,0.001,0,0.001,0.003
Set1,STS2s+STS4s,STS2s,30,78,55,85,1739,2194,30,77,55,85,1708,2151,4653,4653,4653,4653,0,1,0,0.001,0,0.001,0.003,0.005
Set1,STS2s+STS4s,STS4s,20,50,99,99,1443,1421,20,50,99,99,1443,1421,9770,9770,9770,9770,0,1,0,0.001,0.001,0.001,0.002,0.005
Set1,W,W,20,62,70,40,1742,1529,19,51,70,40,1336,1277,2721,2721,2721,2721,0,1,0,0.001,0,0,0,0.001
Set2,GCUT(1-13),GCUT1,10,10,250,250,1460,1086,10,10,246,250,1784,1123,48368,48368,48368,48368,0,1,0,0.002,0.001,0,0,0.003
Set2,GCUT(1-13),GCUT2,20,20,250,250,2350,2367,20,20,250,250,2437,2455,59307,59307,59307,59307,0,1,0,0.003,0.001,0,0.001,0.005
