set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set7,NGCUTFS,NGCUTFS2-132,250,750,100,100,31557,34176,70,193,100,100,6295,7222,30000,30000,0.0,1,0,0.023,0.002,0.013,0.0,0.038
Set7,NGCUTFS,NGCUTFS2-133,250,750,100,100,30969,30252,72,207,100,100,7105,8816,30000,30000,0.0,1,0,0.017,0.002,0.0,0.062,0.081
Set7,NGCUTFS,NGCUTFS2-134,250,750,100,100,33342,32907,247,750,100,100,33342,32907,30000,30000,0.0,1,0,0.008,0.0,0.0,0.0,0.008
Set7,NGCUTFS,NGCUTFS2-135,250,750,100,100,32784,31257,89,248,100,100,9697,8497,30000,30000,0.0,1,0,0.019,0.002,0.0,0.085,0.106
Set7,NGCUTFS,NGCUTFS2-136,250,750,100,100,30015,31560,246,750,100,100,30015,31560,30000,30000,0.0,1,0,0.008,0.0,0.0,0.0,0.008
Set7,NGCUTFS,NGCUTFS2-137,250,750,100,100,34899,31815,249,750,100,100,34899,31815,30000,30000,0.0,1,0,0.009,0.0,0.0,0.0,0.009
Set7,NGCUTFS,NGCUTFS2-138,250,750,100,100,35271,33285,81,215,100,100,9715,7647,30000,30000,0.0,1,0,0.011,0.0,0.0,0.0,0.011
Set7,NGCUTFS,NGCUTFS2-139,250,750,100,100,30687,30906,72,199,100,100,6709,7398,30000,30000,0.0,1,0,0.017,0.002,0.012,0.0,0.031
Set7,NGCUTFS,NGCUTFS2-140,250,750,100,100,33963,34734,80,209,100,100,8072,8273,30000,30000,0.0,1,0,0.017,0.003,0.0,0.017,0.037
Set7,NGCUTFS,NGCUTFS2-141,250,1000,100,100,42016,42916,249,1000,100,100,42016,42916,30000,30000,0.0,1,0,0.012,0.0,0.0,0.0,0.012
Set7,NGCUTFS,NGCUTFS2-142,250,1000,100,100,41480,42996,247,1000,100,100,41480,42996,30000,30000,0.0,1,0,0.011,0.0,0.0,0.0,0.011
