set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set8,AB,AB51,150,3819,2796,1030,1082491,1014199,98,2295,2796,1030,524568,515663,2114167,2107090,2114167,2107090,0.003347418,0,0,2.58,14.758,0,512.663,530.001
Set8,AB,AB52,150,3771,2552,1320,993167,1036575,109,2559,2552,1320,590941,644947,2500525,2500525,2500525,2500525,0,1,0,3.059,20.189,0,14.659,37.907
Set8,AB,AB53,150,3957,2762,1154,1052086,948750,100,2512,2762,1154,587941,554282,2340372,2340372,2340372,2340372,0,1,0,2.983,19.11,0,96.479,118.572
Set8,AB,AB54,150,3871,2566,1329,970329,1017416,98,2561,2566,1329,577578,576928,2528340,2528340,2528340,2528340,0,1,0,3.23,21.345,0,0.371,24.947
Set8,AB,AB55,150,4108,2757,1157,1142138,1082410,112,2770,2757,1157,666890,644037,2340992,2340992,2340992,2340992,0,1,0,3.295,19.859,0,83.328,106.482
Set8,AB,AB56,150,3415,2155,1195,1007127,912437,100,2107,2155,1195,551378,503953,1905904,1905904,1905904,1905904,0,1,0,2.129,10.264,0,2.629,15.022
Set8,AB,AB57,150,3848,2198,1018,1059517,1127522,92,1923,2198,1018,427876,449357,1645415,1645415,1645415,1645415,0,1,0,1.815,14.146,0,2.722,18.683
Set8,AB,AB58,150,3978,2397,1474,1153558,1067966,97,2312,2397,1474,577729,542902,2623793,2623793,2623793,2623793,0,1,0,3.039,21.538,0,0.001,24.578
Set8,AB,AB59,150,4072,2181,1372,1191779,1073808,96,2389,2181,1372,591569,495562,2186475,2159490,2186475,2159490,0.012341783,0,0,2.656,14.883,0,512.461,530
Set8,AB,AB60,150,3550,2088,1014,1052701,1053690,91,1647,2088,1014,439663,385266,1559185,1559185,1559185,1559185,0,1,0,1.634,6.464,0,0.002,8.1
